"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I5DUW49Y","book","2002","Homer; Merrill, Rodney; Walsh, Thomas R.","The odyssey","","978-0-472-11231-9 978-0-472-08854-6","","","","","2002","2025-03-21 19:00:13","2025-03-21 19:00:13","","","421","","","","","","","","","","University of Michigan Press","Ann Arbor","eng","","","","","Library Catalog (Blacklight)","PA4025.A5 M57 2002","OCLC: 49404005","","","https://catalog.libraries.psu.edu/catalog/2336157","","Epic poetry, Greek; Odysseus; Poetry; Translations into English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M4KWB4F","book","1969","Lawton, William Cranston","The successors of Homer","","","","","","","1969","2025-03-21 19:01:52","2025-03-21 19:01:52","","","201","","","","","","","","","","Cooper Square Publishers","New York","","","","","","Library Catalog (Blacklight)","PA4037 .L47 1969","","","","https://catalog.libraries.psu.edu/catalog/737226","","Epic poetry, Greek; Hesiod; Hexameter; Homeric hymns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WDFQBST","book","1967","Homer; Lattimore, Richmond","The Odyssey of Homer","","","","","","","1967","2025-03-24 18:10:49","2025-03-24 18:10:49","","","374","","","","","","","","","","Harper & Row","New York","eng","","","","","Library Catalog (Blacklight)","PA4025.A5 E6 1967","","","","https://catalog.libraries.psu.edu/catalog/1236705","","Epic poetry, Greek; Odysseus; Poetry; Translations into English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5A52MUP","book","2007","Homer; Merrill, Rodney","The Iliad","","978-0-472-11617-1","","","","","2007","2025-03-24 18:11:36","2025-03-24 18:11:36","","","464","","","","","","","","","","University of Michigan Press","Ann Arbor","eng","","","","","Library Catalog (Blacklight)","PA4025.A2 M46 2007","","","","https://catalog.libraries.psu.edu/catalog/4312632","","Achilles; Epic poetry, Greek; Poetry; Translations into English; Trojan War","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSQNCPKI","book","1962","Homer; Lattimore, Richmond","The Iliad","","","","","","","1962","2025-03-24 18:12:17","2025-03-24 18:12:17","","","526","","","","","","","","","","University of Chicago Press","Chicago","","","","","","Library Catalog (Blacklight)","PA4025.A2 L35 1962","","","","https://catalog.libraries.psu.edu/catalog/981689","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NE49A856","book","2009","","Reading Homer: film and text","","978-0-8386-4219-1","","","","","2009","2025-03-24 18:12:56","2025-03-24 18:12:56","","","258","","","","","Reading Homer","","","","","Fairleigh Dickinson University Press","Madison [NJ]","","","","","","Library Catalog (Blacklight)","PA4037.A5 R43 2009","OCLC: 300462600","","","https://catalog.libraries.psu.edu/catalog/5436891","","Criticism and interpretation; Homer; Influence; Motion pictures; Mythology in motion pictures; Plots, themes, etc; Troy (Motion picture)","Myrsiades, Kostas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXIG7PSX","book","1967","Homer; Lattimore, Richmond","The Odyssey of Homer","","","","","","","1967","2025-03-24 18:13:46","2025-03-24 18:13:46","","","374","","","","","","","","","","Harper & Row","New York","eng","","","","","Library Catalog (Blacklight)","PA4025.A5 E6 1967","","","","https://catalog.libraries.psu.edu/catalog/1236705","","Epic poetry, Greek; Odysseus; Poetry; Translations into English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5LHWYRU","book","1962","Kirk, G. S.","The songs of Homer","","","","","","","1962","2025-03-24 18:14:23","2025-03-24 18:14:23","","","423","","","","","","","","","","University Press","Cambridge [Eng.]","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/877877","","Homer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LTFW7AK","book","2006","Dalby, Andrew","Rediscovering Homer: inside the origins of the epic","","978-0-393-05788-1","","","","","2006","2025-03-24 18:14:55","2025-03-24 18:14:55","","","266","","","","","Rediscovering Homer","","","","","W.W. Norton","New York","","","","","","Library Catalog (Blacklight)","PA4037 .D335 2006","OCLC: 62895825","","","https://catalog.libraries.psu.edu/catalog/3371852","","Criticism and interpretation; Epic poetry, Greek; Folk poetry, Greek; History and criticism; History and criticism Theory, etc; Homer; Iliad; Odyssey","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLCCFT3V","book","1962","Carpenter, Rhys","Folk tale, fiction, and saga in the Homeric epics","","","","","","","1962","2025-03-24 18:15:21","2025-03-24 18:15:21","","","198","","","","","","Cal","13","","","University of California press","Berkeley ; Los Angeles","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/818079","","Greek literature; History and criticism; Homer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
